ID	lat	lon
884	51.25	46.25
885	51.25	48.75
886	51.25	51.25
887	51.25	53.75
888	51.25	56.25
889	51.25	58.75
890	51.25	61.25
891	51.25	63.75
892	51.25	66.25
893	51.25	68.75
894	51.25	71.25
895	51.25	73.75
896	51.25	76.25
897	51.25	78.75
898	51.25	81.25
899	51.25	83.75
900	51.25	86.25
901	51.25	88.75
902	51.25	91.25
903	51.25	93.75
904	51.25	96.25
905	51.25	98.75
906	51.25	101.25
907	51.25	103.75
908	51.25	106.25
909	51.25	108.75
910	51.25	111.25
911	51.25	113.75
912	51.25	116.25
913	51.25	118.75
914	51.25	121.25
915	51.25	123.75
916	51.25	126.25
917	51.25	128.75
918	51.25	131.25
919	51.25	133.75
920	51.25	136.25
921	51.25	138.75
922	48.75	-126.25
923	48.75	-123.75
924	48.75	-121.25
925	48.75	-118.75
926	48.75	-116.25
927	48.75	-113.75
928	48.75	-111.25
929	48.75	-108.75
930	48.75	-106.25
931	48.75	-103.75
932	48.75	-101.25
933	48.75	-98.75
934	48.75	-96.25
935	48.75	-93.75
936	48.75	-91.25
937	48.75	-88.75
938	48.75	-86.25
939	48.75	-83.75
940	48.75	-81.25
941	48.75	-78.75
942	48.75	-76.25
943	48.75	-73.75
944	48.75	-71.25
945	48.75	-68.75
946	48.75	-66.25
947	48.75	-56.25
948	48.75	-53.75
949	48.75	-1.25
950	48.75	1.25
951	48.75	3.75
952	48.75	6.25
953	48.75	8.75
954	48.75	11.25
955	48.75	13.75
956	48.75	16.25
957	48.75	18.75
958	48.75	21.25
959	48.75	23.75
960	48.75	26.25
961	48.75	28.75
962	48.75	31.25
963	48.75	33.75
964	48.75	36.25
965	48.75	38.75
966	48.75	41.25
967	48.75	43.75
968	48.75	46.25
969	48.75	48.75
970	48.75	51.25
971	48.75	53.75
972	48.75	56.25
973	48.75	58.75
974	48.75	61.25
975	48.75	63.75
976	48.75	66.25
977	48.75	68.75
978	48.75	71.25
979	48.75	73.75
980	48.75	76.25
981	48.75	78.75
982	48.75	81.25
983	48.75	83.75
984	48.75	86.25
985	48.75	88.75
986	48.75	91.25
987	48.75	93.75
988	48.75	96.25
989	48.75	98.75
990	48.75	101.25
991	48.75	103.75
992	48.75	106.25
993	48.75	108.75
994	48.75	111.25
995	48.75	113.75
996	48.75	116.25
997	48.75	118.75
998	48.75	121.25
999	48.75	123.75
1000	48.75	126.25
1001	48.75	128.75
1002	48.75	131.25
1003	48.75	133.75
1004	48.75	136.25
1005	48.75	138.75
1006	46.25	-121.25
1007	46.25	-118.75
1008	46.25	-116.25
1009	46.25	-113.75
1010	46.25	-111.25
1011	46.25	-108.75
1012	46.25	-106.25
1013	46.25	-103.75
1014	46.25	-101.25
1015	46.25	-98.75
1016	46.25	-96.25
1017	46.25	-93.75
1018	46.25	-91.25
1019	46.25	-88.75
1020	46.25	-86.25
1021	46.25	-83.75
1022	46.25	-81.25
1023	46.25	-78.75
1024	46.25	-76.25
1025	46.25	-73.75
1026	46.25	-71.25
1027	46.25	-68.75
1028	46.25	-66.25
1029	46.25	-63.75
1030	46.25	1.25
1031	46.25	3.75
1032	46.25	6.25
1033	46.25	8.75
1034	46.25	11.25
1035	46.25	13.75
1036	46.25	16.25
1037	46.25	18.75
1038	46.25	21.25
1039	46.25	23.75
1040	46.25	26.25
1041	46.25	28.75
1042	46.25	31.25
1043	46.25	33.75
1044	46.25	36.25
1045	46.25	38.75
1046	46.25	41.25
1047	46.25	43.75
1048	46.25	46.25
1049	46.25	56.25
1050	46.25	58.75
1051	46.25	61.25
1052	46.25	63.75
1053	46.25	66.25
1054	46.25	68.75
1055	46.25	71.25
1056	46.25	73.75
1057	46.25	76.25
1058	46.25	78.75
1059	46.25	81.25
1060	46.25	83.75
1061	46.25	86.25
1062	46.25	88.75
